Category,pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric,Class
Benign,51,19,11.35294118,0,259.2156863,2391,46.88235294,13220,259.2156863,0,1110,4493,58,1056,1198,123,829,157,430,428,90,138,90,0.037926675,0.058154235,0.037926675,7,8,42,1.166666667,8,0,8,8,12,10,14,0.13559322,0.0,0.13559322,0.13559322,0.203389831,0.169491525,0.237288136,138,392,222,26,24,118,0,128,87,0,8,Benign
Benign,41,12,13.03420599,0,299.211187,2159,51.51500264,12540,305.8763015,0,1078,4408,45,922,1198,103,775,143,422,397,80,117,80,0.037787492,0.05517324,0.037787492,5,6,30,1.245617357,0,0,1,0,5,2,7,0.021217376,0.0,0.042434751,0.021217376,0.135855751,0.067927876,0.182566251,138,395,222,26,27,118,0,124,88,0,8,Benign
Benign,42,16,11.45238095,0,281.2685525,2067,49.21428571,11813,281.2685525,0,908,3835,45,1252,944,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2.0,4,0,4,4,8,6,10,0.086956522,0.0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,392,222,26,24,118,0,124,87,0,8,Benign
Benign,39,12,12.48912632,0,281.0235835,1932,49.53846154,10959,281.0235835,0,943,3858,43,774,1018,98,725,137,332,321,66,102,66,0.034357106,0.053097345,0.034357106,4,5,24,1.333333333,1,0,1,1,5,3,7,0.025,0.0,0.025,0.025,0.125,0.075,0.175,138,395,222,26,27,118,0,124,88,0,8,Benign
Benign,22,8,15.99850065,0,238.8298266,953,41.77522588,5441,238.8298266,0,481,1696,23,346,602,62,384,88,74,170,20,42,20,0.021150281,0.043817657,0.021150281,1,1,6,1.0,0,0,0,0,4,2,4,0.0,0.0,0.0,0.0,0.176342775,0.088171388,0.176342775,137,388,220,26,26,114,0,113,88,0,8,Benign
Benign,45,12,13.80734574,0,312.3495049,2354,52.31222118,14055,312.3495049,0,1247,5137,49,926,1381,111,795,150,502,486,99,142,99,0.042471672,0.06079539,0.042471672,7,8,42,1.166666667,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.088888889,0.044444444,0.133333333,138,395,222,26,27,118,0,124,88,0,8,Benign
Benign,40,16,10.87198651,0,254.8704798,1739,43.4963868,10195,261.4312613,0,807,3537,44,854,836,99,707,127,319,322,73,110,73,0.041457249,0.062469828,0.041457249,3,4,18,1.5,13,0,14,13,18,15,20,0.24770948,0.0,0.266516743,0.24770948,0.341745795,0.285324006,0.379360321,138,392,222,26,24,118,0,126,87,0,8,Benign
Ransomware-Ako-0be304a79df3a52f779940b70974a2b98645ef556c00d1371f788d5e3cbed929-4.raw,44,17,9.909090909,0,208.8636364,1710,38.86363636,9191,213.744186,0,867,3083,46,695,802,108,696,132,191,289,46,88,46,0.026255708,0.050228311,0.026255708,63,18761,378,12.6,32,0,33,32,37,34,39,0.421052632,0.0,0.434210526,0.421052632,0.486842105,0.447368421,0.513157895,138,389,221,26,24,116,0,122,86,0,8,Malware
Ransomware-Maze-95499a0d0582f8f896838321d3040acf51a08ef2c65ff60260bb9ac7748e92a6-4.raw,45,18,9.266666667,0,198.5555556,1717,38.15555556,8935,198.5555556,0,672,3075,48,752,748,111,668,129,190,276,46,90,46,0.026136364,0.051136364,0.026136364,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.088888889,0.044444444,0.133333333,138,389,221,26,24,116,0,122,87,0,8,Malware
Benign,44,13,12.40470446,0,278.9633184,2196,49.90909091,12274,278.9633184,0,1079,4307,48,835,1169,109,763,151,426,387,86,127,86,0.039002268,0.057596372,0.039002268,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.090909091,0.045454545,0.136363636,138,395,222,26,27,118,0,122,88,0,8,Benign
